Team,Def_PG,Def_SG,Def_SF,Def_PF,Def_C
Real Madrid,0.95,1.00,0.98,1.01,0.96
Gran Canaria,1.02,1.03,1.01,1.02,1.03
FC Barcelona,0.97,0.99,1.00,0.98,0.98
Paris Basketball,1.04,1.05,1.03,1.02,1.04
Olympiacos,0.94,0.97,0.98,0.99,0.96
ALBA Berlin,1.05,1.04,1.03,1.03,1.04
Panathinaikos,1.01,1.02,1.00,1.03,1.02
Bayern Munich,0.99,1.00,1.01,1.00,0.99
Fenerbahçe,0.98,0.99,1.01,1.02,0.99
Zalgiris Kaunas,1.02,1.01,1.00,1.01,1.02
Anadolu Efes,1.01,1.02,1.01,1.00,1.01
Valencia,1.00,1.01,1.00,1.01,1.00
Maccabi Tel Aviv,1.03,1.02,1.01,1.01,1.02
Baskonia,1.02,1.03,1.01,1.00,1.01
Partizan,1.00,1.01,1.00,1.01,1.00
LDLC ASVEL,1.03,1.02,1.02,1.01,1.02
Crvena Zvezda,0.98,0.99,0.99,1.00,0.98
AS Monaco,0.99,1.00,1.01,1.01,1.00
Virtus Bologna,1.00,1.00,1.01,1.00,1.00
Olimpia Milano,0.99,0.98,0.99,0.99,0.98
